n,error
216,7.183390727176999e-10
205,8.720153320703195e-10
196,9.006758646944406e-10
2,0.5937500000000046
3,0.0740740740740977
4,0.01660156250001701
5,0.0051200000000646935
6,0.0019298765432098765
7,0.0008365467849309573
8,0.00040084291464809684
9,0.00020687036507616697
10,0.00011259259260384555
11,6.498914100822239e-05
12,3.876149859246542e-05
13,2.3738318316407e-05
14,1.4786682276945705e-05
15,9.31182165979305e-06
16,6.125310424012131e-06
17,4.244904249066491e-06
18,2.9428548970893073e-06
19,2.116297098980664e-06
20,1.5396280179279398e-06
21,1.1242377910932182e-06
22,8.399685431284478e-07
23,6.306897460231871e-07
24,4.819350386550947e-07
25,3.7082175529900617e-07
26,2.881687040960214e-07
27,2.2643003367543748e-07
28,1.8034355803544052e-07
29,1.4080541237370705e-07
30,1.168883126174227e-07
31,8.984552624118326e-08
32,7.436584475666116e-08
33,6.764706989848041e-08
34,5.3191035432194813e-08
35,4.387203735850798e-08
36,3.746061956457937e-08
37,3.483121896195957e-08
38,2.8503003848967053e-08
39,2.385488040475529e-08
40,2.5271343464045798e-08
41,2.340457373509429e-08
42,1.754101759145867e-08
43,1.5413637787359756e-08
44,1.6053888012008608e-08
45,1.550550835292313e-08
46,1.766799271099871e-08
47,1.409968896786808e-08
48,1.436782775847112e-08
49,1.3604357250265538e-08
50,1.2308611130320307e-08
51,1.4277534819348675e-08
52,1.4029333849893447e-08
53,1.0746826988687363e-08
54,1.0863621311244836e-08
55,8.803165110978064e-09
56,1.403813390363443e-08
57,1.1786624375652188e-08
58,1.1164669753213723e-08
59,9.426741133320586e-09
60,1.0024187590038692e-08
61,1.0439499832693118e-08
62,8.675425860361629e-09
63,1.122140830322009e-08
64,6.3263762498980135e-09
65,7.4002381433696866e-09
66,9.19102196452726e-09
67,8.453813460923117e-09
68,1.0872503210406006e-08
69,8.971203865786022e-09
70,8.440377717535644e-09
71,8.645439028882831e-09
72,8.512524136905246e-09
73,7.2770567216651865e-09
74,8.728823669203182e-09
75,9.81507497144045e-09
76,8.817632135573627e-09
77,8.456757064487913e-09
78,7.503311436698292e-09
79,7.120126553042033e-09
80,7.344758385264644e-09
81,6.797803967155222e-09
82,8.18870100718212e-09
83,8.23945855654935e-09
84,7.77182831182558e-09
85,7.160001040522582e-09
86,8.01063391007791e-09
87,6.619597090992597e-09
88,8.935176200378776e-09
89,1.0758334729945806e-08
90,8.376384145107218e-09
91,9.625301231097576e-09
92,6.0307003383237195e-09
93,7.863955332529729e-09
94,7.224601885091086e-09
95,6.6177365347595956e-09
96,6.5567581205087995e-09
97,7.27221253297132e-09
98,7.280635926181202e-09
99,8.289692167910906e-09
100,5.7422726230063515e-09
101,8.313647684145902e-09
102,7.428367230269384e-09
103,8.215401535835779e-09
104,5.306734781515465e-09
105,5.539907260346874e-09
106,5.761329218147671e-09
107,8.235842410646067e-09
108,7.666950068892163e-09
109,8.017698013576505e-09
110,8.630607410526314e-09
111,7.87735036011097e-09
112,7.482292879091216e-09
113,8.926280098566822e-09
114,7.671476194212048e-09
115,8.29871802974202e-09
116,7.362709901559123e-09
117,7.423318320969823e-09
118,7.13586887159408e-09
119,7.19712800463858e-09
120,6.870428490602706e-09
121,5.730127048217675e-09
122,7.217394649726794e-09
123,6.674430450700827e-09
124,5.686849742968003e-09
125,6.6566575890169586e-09
126,3.946453045241082e-09
127,7.308127415862873e-09
128,6.1143533309484095e-09
129,6.700893518761114e-09
130,5.381647996509258e-09
131,6.3053546465154245e-09
132,7.245450384247688e-09
133,4.855699416813979e-09
134,6.27564958004179e-09
135,5.8324330621196126e-09
136,4.992990858936318e-09
137,3.739547844414674e-09
138,4.1342177364878375e-09
139,3.760779731609828e-09
140,4.199264487746975e-09
141,3.429383531611222e-09
142,3.689776473345162e-09
143,4.45687659273725e-09
144,3.537810342820747e-09
145,3.4915055599613634e-09
146,3.790432833750771e-09
147,4.829392539831709e-09
148,3.0522619200688837e-09
149,3.2717238461610067e-09
150,2.872793474375841e-09
151,3.8186223021686125e-09
152,3.727086411407483e-09
153,2.731970457739e-09
154,3.0882740808115594e-09
155,3.0526055727755704e-09
156,3.36629087553082e-09
157,2.077194336254859e-09
158,2.4933462183265867e-09
159,2.1081907702369226e-09
160,2.4417918498624542e-09
161,2.632599762703366e-09
162,2.0995368748674615e-09
163,1.7291552335319358e-09
164,2.115894378955943e-09
165,2.6012837428262785e-09
166,2.3031324214683363e-09
