t,d,n,field,type,error
8,2,40,complex,equal_norm,2.2737367544323206e-13
9,2,50,complex,equal_norm,7.275957614183426e-12
4,3,58,complex,equal_norm,0.0
5,3,113,complex,equal_norm,0.0
4,4,207,complex,equal_norm,2.1827872842550278e-11
3,5,157,complex,equal_norm,7.275957614183426e-12
3,6,126,complex,equal_norm,7.275957614183426e-12
3,2,6,complex,weighted,7.914675859144182e-18
9,2,8,complex,weighted,6.2505252593585895e-12
4,3,24,real,equal_norm,0.0
7,2,24,complex,equal_norm,2.2737367544323206e-13
3,3,27,complex,equal_norm,2.2737367544323206e-13
3,2,6,complex,equal_norm,0.0
3,4,40,complex,equal_norm,6.821210263296962e-13
4,2,12,complex,equal_norm,2.842170943040401e-14
5,2,12,complex,equal_norm,2.842170943040401e-14
6,2,24,complex,equal_norm,3.113882485195063e-10
6,3,198,complex,equal_norm,6.766640581190586e-10
5,4,526,complex,equal_norm,3.4924596548080444e-10
4,5,617,complex,equal_norm,0.0
7,3,330,complex,equal_norm,4.3655745685100555e-11
3,3,148,complex,weighted,9.94428831975516e-10
3,4,164,complex,weighted,9.930874832693175e-10
3,5,182,complex,weighted,7.629848029076657e-10
3,6,186,complex,weighted,9.8450691183579e-10
3,7,199,complex,weighted,9.692856499746913e-10
3,8,212,complex,weighted,9.530256475352332e-10
3,9,220,complex,weighted,9.821626353117208e-10
3,10,230,complex,weighted,8.752807086797765e-10
3,11,246,complex,weighted,9.788554862348484e-10
3,12,254,complex,weighted,9.809332243092788e-10
4,2,40,complex,weighted,5.663315115817823e-10
4,3,43,complex,weighted,5.649329047527873e-10
4,4,48,complex,weighted,7.329116520131732e-10
4,5,50,complex,weighted,7.270178465146924e-10
4,6,53,complex,weighted,8.846326193638371e-10
4,7,54,complex,weighted,9.421634062932205e-10
4,8,58,complex,weighted,7.651862859458708e-10
4,9,57,complex,weighted,9.429154049510545e-10
4,10,65,complex,weighted,8.599298176925965e-10
4,11,77,complex,weighted,8.293028773551921e-10
4,12,90,complex,weighted,1.664203532386312e-10
5,2,21,complex,weighted,9.928511745356248e-10
5,3,19,complex,weighted,9.680259159592651e-10
5,4,23,complex,weighted,9.907006764108884e-10
5,5,30,complex,weighted,8.792299835793351e-11
5,6,42,complex,weighted,1.9745453957224506e-11
5,7,56,complex,weighted,1.5550476212098111e-12
5,8,72,complex,weighted,8.400497246292762e-13
5,9,90,complex,weighted,9.41125294919589e-14
5,10,110,complex,weighted,9.462885385677389e-15
5,11,132,complex,weighted,2.8581578058489306e-15
6,2,13,complex,weighted,5.2020140095856606e-11
6,3,16,complex,weighted,1.929950074913299e-10
6,4,30,complex,weighted,1.9897707093944492e-13
6,5,50,complex,weighted,4.574987765278991e-15
6,6,77,complex,weighted,7.724192510731046e-17
6,7,112,complex,weighted,1.9017475316128173e-18
